교과목,학점,년도,교과목명
GS2501,3,2014,이야기 문학과 삶
GS2501,3,2014,이야기문학과 삶
GS2501,3,2014,이야기문학의 이해
GS2503,3,2014,한국현대문학의 이해
GS2503,3,2014,한국현대소설의 이해
GS2504,3,2014,한국근현대작가론
GS2505,3,2014,고전시가의 이해
GS2521,3,2014,영웅과 반영웅 : 서구근대문학의 이해
GS2522,3,2014,개성과 정체성: 영미 성장기 문학
GS2523,3,2014,영미단편소설읽기
GS2524,3,2014,희극의 발견
GS2525,3,2014,근대의 모험: 서구근대문학의 이해 Ⅱ
GS2526,3,2014,문학과 연인들
GS2541,3,2014,서양음악의 이해
GS2542,3,2014,오페라와 판소리
GS2543,3,2014,현대 예술의 이해
GS2543,3,2014,현대 예술의 이해: 모더니즘에서 포스트모더니즘까지
GS2601,3,2014,동아시아의 전통과 현대
GS2602,3,2014,한국사의 이해
GS2603,3,2014,동아시아의 근대화
GS3601,3,2014,강대국의 흥망
GS3602,3,2014,역사학특강
GS2611,3,2014,국제관계의 역사
GS2612,3,2014,서양 고대와 중세 문명
GS2612,3,2014,서양역사 입문
GS2613,3,2014,현대서양의 형성과 전개
GS2614,3,2014,서양근대의 대두와 발전
GS2614,3,2014,초기 근대의 서양
GS2615,3,2014,사회주의: 이론과 역사
GS2615,3,2014,자본주의와 사회주의의 역사
GS2621,3,2014,애지와 문도 : 불교와 기독교 (강의)
GS2621,3,2014,"애지와 문도 : 소크라테스, 공자, 붓다, 예수"
GS2622,3,2014,세계 종교의 이해
GS2623,3,2014,무의식의 탐구
GS2625,3,2014,동양적 사유의 전통 1
GS2625,3,2014,동양철학입문
GS2625,3,2014,동양철학입문 1
GS2626,3,2014,한국철학의 이해
GS2626,3,2014,한국철학의 이해 : 성리학과 실학(세미나)
GS2627,3,2014,신화와 상징의 메시지
GS2627,3,2014,신화와 원형상징
GS2628,3,2014,서양 철학고전 강독
GS2629,3,2014,손자병법과 인생경영
GS3621,3,2014,20세기 철학의 주제들  1(심화)
GS3621,3,2014,20세기 철학의 주제들 Ⅰ
GS3622,3,2014,20세기 철학의 주제들 2
GS3622,3,2014,20세기 철학의 주제들 2(세미나)
GS3623,3,2014,동양철학고전강독
GS2701,3,2014,한국사회의 이해
GS2702,3,2014,미국사회의 이해
GS2704,3,2014,기업과 사회
GS2704,3,2014,기업과 사회 Ⅰ
GS2705,3,2014,"정보사회론: 기술, 미디어, 대중문화"
GS2721,3,2014,기초경제학
GS2722,3,2014,한국경제의 이해
GS2723,3,2014,사회주의 경제의 시장경제전환론
GS2724,3,2014,거시경제학
GS2725,3,2014,사회복지와 재정
GS2726,3,2014,글로벌 경제의 이해
GS2727,3,2014,동아시아 경제론
GS2728,3,2014,세계화 시대의 경제정책
GS2742,3,2014,마음과 행동의 이해 1
