교과목,학점,년도,교과목명
GS2501,3,2016,이야기 문학과 삶
GS2501,3,2016,이야기문학과 삶
GS2501,3,2016,이야기문학의 이해
GS2503,3,2016,한국현대문학의 이해
GS2503,3,2016,한국현대소설의 이해
GS2504,3,2016,한국근현대작가론
GS2505,3,2016,고전시가의 이해
GS2506,3,2016,한국현대시인론
GS2507,3,2016,시의 이해
GS2507,3,2016,한국현대시의 이해
GS2521,3,2016,영웅과 반영웅 : 서구근대문학의 이해
GS2522,3,2016,개성과 정체성: 영미 성장기 문학
GS2523,3,2016,영미단편소설읽기
GS2524,3,2016,희극의 발견
GS2525,3,2016,근대의 모험: 서구근대문학의 이해 Ⅱ
GS2526,3,2016,문학과 연인들
GS2611,3,2016,국제관계의 역사
GS2612,3,2016,서양 고대와 중세 문명
GS2612,3,2016,서양역사 입문
GS2613,3,2016,현대서양의 형성과 전개
GS2614,3,2016,서양근대의 대두와 발전
GS2614,3,2016,초기 근대의 서양
GS2615,3,2016,사회주의: 이론과 역사
GS2615,3,2016,자본주의와 사회주의의 역사
GS2616,3,2016,장기 19세기 서양 역사
GS2618,3,2016,러시아사
GS2618,3,2016,중동부 유럽 및 러시아의 역사
GS2621,3,2016,애지와 문도 : 불교와 기독교 (강의)
GS2621,3,2016,"애지와 문도 : 소크라테스, 공자, 붓다, 예수"
GS2622,3,2016,세계 종교의 이해
GS2623,3,2016,무의식의 탐구
GS2625,3,2016,동양적 사유의 전통 1
GS2625,3,2016,동양철학입문
GS2625,3,2016,동양철학입문 1
GS2626,3,2016,한국철학의 이해
GS2626,3,2016,한국철학의 이해 : 성리학과 실학(세미나)
GS2627,3,2016,신화와 상징의 메시지
GS2627,3,2016,신화와 원형상징
GS2628,3,2016,서양 철학고전 강독
GS2629,3,2016,손자병법과 인생경영
GS2630,3,2016,한비자와 법가의 정치철학
GS2814,3,2016,유토피아 픽션과 테크놀로지
GS3621,3,2016,20세기 철학의 주제들  1
GS3621,3,2016,20세기 철학의 주제들  1(심화)
GS3621,3,2016,20세기 철학의 주제들 Ⅰ
GS3622,3,2016,20세기 철학의 주제들 2
GS3622,3,2016,20세기 철학의 주제들 2(세미나)
GS3623,3,2016,동양철학고전강독
GS3624,3,2016,주역 입문
GS3625,3,2016,<노자> 사상의 이해
GS3801,3,2016,과학기술과 젠더
GS3801,3,2016,과학기술과 젠더(심화)
GS3802,3,2016,과학자 문학
GS2501,3,2017,이야기 문학과 삶
GS2501,3,2017,이야기문학과 삶
GS2501,3,2017,이야기문학의 이해
GS2503,3,2017,한국현대문학의 이해
GS2503,3,2017,한국현대소설의 이해
GS2504,3,2017,한국근현대작가론
GS2505,3,2017,고전시가의 이해
GS2506,3,2017,한국현대시인론
GS2507,3,2017,시의 이해
GS2507,3,2017,한국현대시의 이해
GS2508,3,2017,이상(李箱)문학과 과학
GS2509,3,2017,한국현대소설의 사회적 성찰
GS2510,3,2017,한국고전문학과 사상
GS2521,3,2017,영웅과 반영웅 : 서구근대문학의 이해
GS2522,3,2017,개성과 정체성: 영미 성장기 문학
GS2523,3,2017,영미단편소설읽기
GS2524,3,2017,희극의 발견
GS2525,3,2017,근대의 모험: 서구근대문학의 이해 Ⅱ
GS2526,3,2017,문학과 연인들
GS2604,3,2017,"현대 중국의 이해: 계몽, 혁명, 시장"
GS2611,3,2017,국제관계의 역사
GS2612,3,2017,서양 고대와 중세 문명
GS2612,3,2017,서양역사 입문
GS2613,3,2017,현대서양의 형성과 전개
GS2614,3,2017,서양근대의 대두와 발전
GS2614,3,2017,초기 근대의 서양
GS2615,3,2017,사회주의: 이론과 역사
GS2615,3,2017,자본주의와 사회주의의 역사
GS2616,3,2017,장기 19세기 서양 역사
GS2618,3,2017,러시아사
GS2618,3,2017,중동부 유럽 및 러시아의 역사
GS2621,3,2017,애지와 문도 : 불교와 기독교 (강의)
GS2621,3,2017,"애지와 문도 : 소크라테스, 공자, 붓다, 예수"
GS2622,3,2017,세계 종교의 이해
GS2623,3,2017,무의식의 탐구
GS2625,3,2017,동양적 사유의 전통 1
GS2625,3,2017,동양철학입문
GS2625,3,2017,동양철학입문 1
GS2626,3,2017,한국철학의 이해
GS2626,3,2017,한국철학의 이해 : 성리학과 실학(세미나)
GS2627,3,2017,신화와 상징의 메시지
GS2627,3,2017,신화와 원형상징
GS2628,3,2017,서양 철학고전 강독
GS2629,3,2017,손자병법과 인생경영
GS2630,3,2017,한비자와 법가의 정치철학
GS2814,3,2017,유토피아 픽션과 테크놀로지
GS3603,3,2017,서양사 자료의 비판과 해석
GS3604,3,2017,서양사 특강
GS3621,3,2017,20세기 철학의 주제들  1
GS3621,3,2017,20세기 철학의 주제들  1(심화)
GS3621,3,2017,20세기 철학의 주제들 Ⅰ
GS3622,3,2017,20세기 철학의 주제들 2
GS3622,3,2017,20세기 철학의 주제들 2(세미나)
GS3623,3,2017,동양철학고전강독
GS3624,3,2017,주역 입문
GS3625,3,2017,<노자> 사상의 이해
GS3801,3,2017,과학기술과 젠더
GS3801,3,2017,과학기술과 젠더(심화)
GS3802,3,2017,과학자 문학
GS2501,3,2018,이야기 문학과 삶
GS2501,3,2018,이야기문학과 삶
GS2501,3,2018,이야기문학의 이해
GS2503,3,2018,한국현대문학의 이해
GS2503,3,2018,한국현대소설의 이해
GS2505,3,2018,고전시가의 이해
GS2506,3,2018,한국현대시인론
GS2507,3,2018,시의 이해
GS2507,3,2018,한국현대시의 이해
GS2509,3,2018,한국현대소설의 사회적 성찰
GS2510,3,2018,한국고전문학과 사상
GS2521,3,2018,영웅과 반영웅 : 서구근대문학의 이해
GS2522,3,2018,개성과 정체성: 영미 성장기 문학
GS2523,3,2018,영미단편소설읽기
GS2524,3,2018,희극의 발견
GS2525,3,2018,근대의 모험: 서구근대문학의 이해 Ⅱ
GS2526,3,2018,문학과 연인들
GS2601,3,2018,동아시아의 전통과 현대
GS2602,3,2018,한국사의 이해
GS2603,3,2018,동아시아의 근대화
GS2604,3,2018,"현대 중국의 이해: 계몽, 혁명, 시장"
GS2611,3,2018,국제관계의 역사
GS2612,3,2018,서양 고대와 중세 문명
GS2612,3,2018,서양역사 입문
GS2613,3,2018,현대서양의 형성과 전개
GS2614,3,2018,서양근대의 대두와 발전
GS2614,3,2018,초기 근대의 서양
GS2615,3,2018,사회주의: 이론과 역사
GS2615,3,2018,자본주의와 사회주의의 역사
GS2616,3,2018,장기 19세기 서양 역사
GS2618,3,2018,러시아사
GS2618,3,2018,중동부 유럽 및 러시아의 역사
GS2621,3,2018,애지와 문도 : 불교와 기독교 (강의)
GS2621,3,2018,"애지와 문도 : 소크라테스, 공자, 붓다, 예수"
GS2622,3,2018,세계 종교의 이해
GS2623,3,2018,무의식의 탐구
GS2625,3,2018,동양적 사유의 전통 1
GS2625,3,2018,동양철학입문
GS2625,3,2018,동양철학입문 1
GS2626,3,2018,한국철학의 이해
GS2626,3,2018,한국철학의 이해 : 성리학과 실학(세미나)
GS2627,3,2018,신화와 상징의 메시지
GS2627,3,2018,신화와 원형상징
GS2628,3,2018,서양 철학고전 강독
