교과목,학점,년도,교과목명
GS2620,3,2016,철학의 근본 문제들
GS2661,3,2016,논리와 비판적 사고
GS2701,3,2016,한국사회의 이해
GS2702,3,2016,미국사회의 이해
GS2703,3,2016,"세계화와 발전 : 세계의 정치, 경제, 문화 지형"
GS2704,3,2016,기업과 사회
GS2704,3,2016,기업과 사회 Ⅰ
GS2705,3,2016,"정보사회론: 기술, 미디어, 대중문화"
GS2706,3,2016,세계정치의 변환
GS2707,3,2016,오타쿠 대중문화론
GS2724,3,2016,거시경제학
GS2725,3,2016,사회복지와 재정
GS2726,3,2016,글로벌 경제의 이해
GS2727,3,2016,동아시아 경제론
GS2728,3,2016,세계화 시대의 경제정책
GS2729,3,2016,경제학사
GS2730,3,2016,해외경제론
GS2731,3,2016,미시경제학
GS2732,3,2016,행동경제학 1
GS2761,3,2016,인권법: 현대사회의 인권 문제들
GS2762,3,2016,법과 정의: 이념과 현실
GS2763,3,2016,현대법학의 이해
GS2764,3,2016,현대법철학
GS2765,3,2016,헌법과 국가
GS2781,3,2016,국제관계론 Ⅰ: 근대 국제정치체제의 상승과 쇠퇴
GS2782,3,2016,국제관계론 Ⅱ: 세계정치의 전지구화의 과정과 쟁점
GS2783,3,2016,과학기술과 전쟁
GS2784,3,2016,고전 정치사상의 이해
GS2803,3,2016,과학기술과 사회
GS2812,3,2016,생명윤리와 법
GS3631,3,2016,마음과 컴퓨터
GS3632,3,2016,의사결정 이론과 합리적 선택
GS3632,3,2016,합리적 판단과 선택
GS3721,3,2016,교육의 경제학
GS3761,3,2016,로봇윤리와 로봇법학
GS3861,3,2016,신경과학과 법
GS2620,3,2017,철학의 근본 문제들
GS2661,3,2017,논리와 비판적 사고
GS2701,3,2017,한국사회의 이해
GS2702,3,2017,미국사회의 이해
GS2703,3,2017,"세계화와 발전 : 세계의 정치, 경제, 문화 지형"
GS2704,3,2017,기업과 사회
GS2704,3,2017,기업과 사회 Ⅰ
GS2705,3,2017,"정보사회론: 기술, 미디어, 대중문화"
GS2706,3,2017,세계정치의 변환
GS2707,3,2017,오타쿠 대중문화론
GS2708,3,2017,기업과 사회 Ⅱ
GS2724,3,2017,거시경제학
GS2725,3,2017,사회복지와 재정
GS2726,3,2017,글로벌 경제의 이해
GS2727,3,2017,동아시아 경제론
GS2728,3,2017,세계화 시대의 경제정책
GS2730,3,2017,해외경제론
GS2731,3,2017,미시경제학
GS2732,3,2017,행동경제학 1
GS2733,3,2017,행동경제학 2
GS2734,3,2017,행복의 조건
GS2742,3,2017,마음과 행동의 이해
GS2742,3,2017,마음과 행동의 이해 1: 사회적 마음의 탐구
GS2742,3,2017,마음과 행동의 이해 Ⅰ: 사회적 마음의 탐구
GS2742,3,2017,인간의 마음과 행동 1
GS2743,3,2017,마음과 행동의 이해 II
GS2743,3,2017,인간의 마음과 행동 2
GS2747,3,2017,인간관계의 심리학
GS2748,3,2017,언어와 마음: 언어심리학적 접근
GS2750,3,2017,경영학원론
GS2751,3,2017,전략경영
GS2751,3,2017,전략경영 I
GS2752,3,2017,기술혁신전략
GS2761,3,2017,인권법: 현대사회의 인권 문제들
GS2762,3,2017,법과 정의: 이념과 현실
GS2763,3,2017,현대법학의 이해
GS2764,3,2017,현대법철학
GS2765,3,2017,헌법과 국가
GS2781,3,2017,국제관계론 Ⅰ: 근대 국제정치체제의 상승과 쇠퇴
GS2782,3,2017,국제관계론 Ⅱ: 세계정치의 전지구화의 과정과 쟁점
GS2783,3,2017,과학기술과 전쟁
GS2784,3,2017,고전 정치사상의 이해
GS2803,3,2017,과학기술과 사회
GS2812,3,2017,생명윤리와 법
GS3631,3,2017,마음과 컴퓨터
GS3632,3,2017,의사결정 이론과 합리적 선택
GS3632,3,2017,합리적 판단과 선택
GS3633,3,2017,과학철학 특강
GS3633,3,2017,서양 현대 철학 강독
GS3721,3,2017,교육의 경제학
GS3751,3,2017,소셜네트워크와 기업행동
GS3762,3,2017,현대법사상 강독
GS3763,3,2017,현대 법철학의 주제들
GS3764,3,2017,뇌와 인지
GS3861,3,2017,신경과학과 법
