NO,년도,학기,개설부서,교과목-분반,교과목명,"이수
구분","세부
분류","교과
연구",담당교수,"과정
구분",강/실/학,강의언어,시간표,강의실,"수강
정원","수강
인원",선수과목,"강의공유
대표교과목","강의
공유
대표","재수강
예외여부","폐강
여부","SYLL
ABUS","설명
영상","출석부
유무",Upload,"강의
방법",선택MOOC
1,2010,1학기,기초교육학부,GS0101-01,"체육 : 축구, 테니스, 농구, 댄스스포츠, 체력단련",필수,,교과,"나찬일[61015]
박미숙[61017]
배영종[61023]
송영선[61022]
전용욱[61016]",학사,1/0/0,,일 :~:,,0,14,Uniform,,,N,N,view,,미등록,"Attendance
List",,
2,2010,1학기,기초교육학부,GS0101-02,"체육 : 축구, 테니스, 농구, 댄스스포츠, 체력단련",필수,,교과,,학사,1/0/0,,,,0,28,Uniform,,,N,N,view,,미등록,"Attendance
List",,
3,2010,1학기,기초교육학부,GS0101-03,"체육 : 축구, 테니스, 농구, 댄스스포츠, 체력단련",필수,,교과,,학사,1/0/0,,,,0,19,Uniform,,,N,N,view,,미등록,"Attendance
List",,
4,2010,1학기,기초교육학부,GS0101-04,"체육 : 축구, 테니스, 농구, 댄스스포츠, 체력단련",필수,,교과,,학사,1/0/0,,,,0,16,Uniform,,,N,N,view,,미등록,"Attendance
List",,
5,2010,1학기,기초교육학부,GS0101-05,"체육 : 축구, 테니스, 농구, 댄스스포츠, 체력단련",필수,,교과,,학사,1/0/0,,,,0,21,Uniform,,,N,N,view,,미등록,"Attendance
List",,
6,2010,1학기,기초교육학부,GS0201-01,"음악 : 피아노, 바이올린, 플롯, 기타, 밴드",필수,,교과,"김보라[60355]
김혜영[61019]
박영렬[61020]
안혜선[61018]",학사,1/0/0,,일 :~:,,0,17,Musical Instruments,,,N,N,view,,미등록,"Attendance
List",,
7,2010,1학기,기초교육학부,GS0201-02,"음악 : 피아노, 바이올린, 플롯, 기타, 밴드",필수,,교과,,학사,1/0/0,,,,0,16,Musical Instruments,,,N,N,view,,미등록,"Attendance
List",,
8,2010,1학기,기초교육학부,GS0201-03,"음악 : 피아노, 바이올린, 플롯, 기타, 밴드",필수,,교과,,학사,1/0/0,,,,0,17,Musical Instruments,,,N,N,view,,미등록,"Attendance
List",,
9,2010,1학기,기초교육학부,GS0201-04,"음악 : 피아노, 바이올린, 플롯, 기타, 밴드",필수,,교과,,학사,1/0/0,,,,0,24,Musical Instruments,,,N,N,view,,미등록,"Attendance
List",,
10,2010,1학기,기초교육학부,GS0201-05,"음악 : 피아노, 바이올린, 플롯, 기타, 밴드",필수,,교과,,학사,1/0/0,,,,0,24,Musical Instruments,,,N,N,view,,미등록,"Attendance
List",,
11,2010,1학기,기초교육학부,GS1001-01,응용미적분학 및 연습 I,필수,,교과,"김철[60930]
황치옥[60934]",학사,3/1/3,,일 :~:,,0,23,None,,,N,N,view,,미등록,"Attendance
List",,
12,2010,1학기,기초교육학부,GS1001-02,응용미적분학 및 연습 I,필수,,교과,,학사,3/1/3,,,,0,24,None,,,N,N,view,,미등록,"Attendance
List",,
13,2010,1학기,기초교육학부,GS1001-03,응용미적분학 및 연습 I,필수,,교과,,학사,3/1/3,,,,0,25,None,,,N,N,view,,미등록,"Attendance
List",,
14,2010,1학기,기초교육학부,GS1001-04,응용미적분학 및 연습 I,필수,,교과,,학사,3/1/3,,,,30,25,None,,,N,N,view,,미등록,"Attendance
List",,
15,2010,1학기,기초교육학부,GS1101-01,일반물리 및 연습 I,필수,,교과,유운종[60956],학사,3/1/3,,일 :~:,,40,35,None,,,N,N,view,,미등록,"Attendance
List",,
16,2010,1학기,기초교육학부,GS1101-02,일반물리 및 연습 I,필수,,교과,,학사,3/1/3,,,,35,34,None,,,N,N,view,,미등록,"Attendance
List",,
17,2010,1학기,기초교육학부,GS1103-01,고급물리 및 연습 I,필수,,교과,"노도영[01072]
정영주[01091]",학사,3/1/3,,일 :~:,,30,29,None,,,N,N,view,,미등록,"Attendance
List",,
18,2010,1학기,기초교육학부,GS1201-01,일반화학 및 연습 I,필수,,교과,"박진주[60957]
서지원[60955]",학사,3/1/3,,일 :~:,,0,26,없음,,,N,N,view,,미등록,"Attendance
List",,
19,2010,1학기,기초교육학부,GS1201-02,일반화학 및 연습 I,필수,,교과,,학사,3/1/3,,,,0,25,없음,,,N,N,view,,미등록,"Attendance
List",,
20,2010,1학기,기초교육학부,GS1201-03,일반화학 및 연습 I,필수,,교과,,학사,3/1/3,,,,0,23,없음,,,N,N,view,,미등록,"Attendance
List",,
21,2010,1학기,기초교육학부,GS1201-04,일반화학 및 연습 I,필수,,교과,,학사,3/1/3,,,,0,24,없음,,,N,N,view,,미등록,"Attendance
List",,
22,2010,1학기,기초교육학부,GS1501-01,글쓰기와 말하기,필수,,교과,심우장[60929],학사,3/0/2,,일 :~:,,0,24,None,,,N,N,view,,미등록,"Attendance
List",,
23,2010,1학기,기초교육학부,GS1501-02,글쓰기와 말하기,필수,,교과,,학사,3/0/2,,,,0,28,None,,,N,N,view,,미등록,"Attendance
List",,
24,2010,1학기,기초교육학부,GS1601-01,영어 A,필수,,교과,이시연[60939],학사,3/0/2,,일 :~:,,0,25,N/A,,,N,N,view,,미등록,"Attendance
List",,
